,max (document wise),mean (document wise),min (document wise)
w5451_1103-a,0.0006896552,0.0006896552,0.0006896552
w47726_12172-a,0.0013793104,0.0013793104,0.0013793104
w3571_720-v,0.0020689655,0.0020689655,0.0020689655
w37953_9443-n,0.0020689655,0.0020689655,0.0020689655
w45146_11372-a,0.0006896552,0.0006896552,0.0006896552
w27422_6483-v,0.0013793104,0.0013793104,0.0013793104
w2201_443-a,0.0008818342,0.0007857447,0.0006896552
w2201_6471-a,0.0008818342,0.0007857447,0.0006896552
w16676_3706-n,0.0013793104,0.0013793104,0.0013793104
w16676_3853-n,0.0013793104,0.0013793104,0.0013793104
w16676_28109-n,0.0013793104,0.0013793104,0.0013793104
w14567_3169-a,0.0013793104,0.0013793104,0.0013793104
w14567_3621-a,0.0013793104,0.0013793104,0.0013793104
w14567_4085-a,0.0013793104,0.0013793104,0.0013793104
w14567_8336-a,0.0013793104,0.0013793104,0.0013793104
w14567_33523-a,0.0013793104,0.0013793104,0.0013793104
w56793_15063-a,0.0006896552,0.0006896552,0.0006896552
w29898_7157-a,0.0020689655,0.0020689655,0.0020689655
w29898_16313-a,0.0020689655,0.0020689655,0.0020689655
w79584_22653-n,0.0013793104,0.0013793104,0.0013793104
w20456_4640-n,0.0020689655,0.0014753998,0.0008818342
w34894_8591-v,0.0006896552,0.0006896552,0.0006896552
w34894_12755-v,0.0006896552,0.0006896552,0.0006896552
w3910_1598-v,0.0013793104,0.0013793104,0.0013793104
w3910_4896-v,0.0013793104,0.0013793104,0.0013793104
w3910_5404-v,0.0013793104,0.0013793104,0.0013793104
w3910_7850-v,0.0013793104,0.0013793104,0.0013793104
w3910_20120-v,0.0013793104,0.0013793104,0.0013793104
w3910_31902-v,0.0013793104,0.0013793104,0.0013793104
w3910_35213-v,0.0013793104,0.0013793104,0.0013793104
w55828_14751-v,0.0013793104,0.0013793104,0.0013793104
w13902_2995-n,0.0006896552,0.0006896552,0.0006896552
w13902_3040-n,0.0006896552,0.0006896552,0.0006896552
w15143_3303-a,0.0006896552,0.0006896552,0.0006896552
w15143_5283-a,0.0006896552,0.0006896552,0.0006896552
w15143_35908-a,0.0006896552,0.0006896552,0.0006896552
w31241_7528-v,0.0020689655,0.0020689655,0.0020689655
w31241_7753-v,0.0020689655,0.0020689655,0.0020689655
w31241_8192-v,0.0020689655,0.0020689655,0.0020689655
w2801_546-v,0.0008818342,0.0007857447,0.0006896552
w2801_1917-v,0.0008818342,0.0007857447,0.0006896552
w2801_35824-v,0.0008818342,0.0007857447,0.0006896552
w16540_3668-n,0.0006896552,0.0006896552,0.0006896552
w33425_8181-v,0.0006896552,0.0006896552,0.0006896552
w18961_4288-a,0.0006896552,0.0006896552,0.0006896552
w18961_12184-a,0.0006896552,0.0006896552,0.0006896552
w18961_27002-a,0.0006896552,0.0006896552,0.0006896552
w18961_30482-a,0.0006896552,0.0006896552,0.0006896552
w20425_4634-n,0.0006896552,0.0006896552,0.0006896552
w109621_32561-n,0.0006896552,0.0006896552,0.0006896552
w54129_14131-a,0.0006896552,0.0006896552,0.0006896552
w35425_8733-a,0.0006896552,0.0006896552,0.0006896552
w16660_3702-a,0.0034482758,0.0034482758,0.0034482758
w16660_9195-a,0.0034482758,0.0034482758,0.0034482758
w16660_27977-a,0.0034482758,0.0034482758,0.0034482758
w765_156-n,0.0027586208,0.0018202275,0.0008818342
w25605_5984-a,0.0006896552,0.0006896552,0.0006896552
w25605_18451-a,0.0006896552,0.0006896552,0.0006896552
w1202411_362244-v,0.0008818342,0.0007857447,0.0006896552
w26131_6115-a,0.0006896552,0.0006896552,0.0006896552
w32086_7762-a,0.0006896552,0.0006896552,0.0006896552
w32086_8055-a,0.0006896552,0.0006896552,0.0006896552
w32086_33613-a,0.0006896552,0.0006896552,0.0006896552
w60262_16243-a,0.0006896552,0.0006896552,0.0006896552
w10079_2079-a,0.0008818342,0.0007857447,0.0006896552
w10079_3738-a,0.0008818342,0.0007857447,0.0006896552
w10079_12042-a,0.0008818342,0.0007857447,0.0006896552
w10079_32518-a,0.0008818342,0.0007857447,0.0006896552
w1655_337-v,0.0013793104,0.0013793104,0.0013793104
w1202454_22585-v,0.0013793104,0.0013793104,0.0013793104
w38163_9495-a,0.0006896552,0.0006896552,0.0006896552
w38163_10177-a,0.0006896552,0.0006896552,0.0006896552
